AgentID,AgentFullName,AgencyName,PhoneNumber,Email
310134957,Glynda Rubinsohn,CineScope Talent Group,216-528-6386,grubinsohn0@jigsy.com
350289530,Ruth Bote,StarTalent Agency,302-216-2408,rbote1@devhub.com
340152119,Paulo Windaybank,Apex Media Group,767-225-5514,pwindaybank2@macromedia.com
206661084,Nobie Thaine,Spotlight Representatives,751-620-0827,nthaine3@lycos.com
211021760,Nola Standbrooke,FrameOne Agency,940-170-3798,nstandbrooke4@dagondesign.com
367878380,Fallon Coulthard,Apex Media Group,227-925-8813,fcoulthard5@printfriendly.com
246747251,Susann Abrahamsen,Spotlight Representatives,915-797-9590,sabrahamsen6@biglobe.ne.jp
388252876,Lukas Petrollo,Spotlight Representatives,959-155-0379,lpetrollo7@geocities.com
254580302,Derrick McKelvie,PrimeWave Entertainment,853-811-9724,dmckelvie8@diigo.com
216633929,Gretal Paddington,Firefly Creatives,788-804-1783,gpaddington9@hatena.ne.jp
332349167,Garrard Yankeev,TrueNorth Agency,588-564-9885,gyankeeva@scribd.com
208734704,Randolf Jacomb,Spotlight Representatives,728-349-1572,rjacombb@bravesites.com
243721086,Moria Ends,Firefly Creatives,146-249-8963,mendsc@mozilla.com
334990696,Nester Meldon,Bright Horizon Management,267-111-0979,nmeldond@jalbum.net
262998197,Ephraim Mixon,FrameOne Agency,507-750-7983,emixone@jiathis.com
302420604,Ly Huggen,Visionary Creations,374-928-8773,lhuggenf@gmpg.org
201219814,Hiram O'' Mullan,DreamLine Talent,402-475-4486,hog@goo.gl
274458482,Fredia Davidovsky,Horizon Artists Collective,588-439-0679,fdavidovskyh@naver.com
296223227,Denise McParlin,FrameOne Agency,825-771-2803,dmcparlini@mashable.com
290809417,Briana Choules,BoldStage Agency,311-174-2267,bchoulesj@bizjournals.com
267925685,Richardo Hugland,Visionary Creations,111-511-9197,rhuglandk@salon.com
300484302,Carrissa Lougheed,Nova Artists,243-197-5974,clougheedl@tiny.cc
327464097,Natal McCrann,Infinity Artists,657-292-8108,nmccrannm@thetimes.co.uk
291921376,Daffie Ince,TrueNorth Agency,837-361-5389,dincen@auda.org.au
296448350,Diane-marie Shotboult,CineScope Talent Group,936-123-5661,dshotboulto@dedecms.com
350748065,Dominique Basketter,StarTalent Agency,225-766-8312,dbasketterp@ucoz.com
346928907,Lincoln Lamperd,Firefly Creatives,319-361-8251,llamperdq@narod.ru
385637499,Katinka D''Aeth,Bright Horizon Management,401-686-5843,kdaethr@buzzfeed.com
299727357,Lorry Mousley,Infinity Artists,945-146-4251,lmousleys@nymag.com
378255929,Flora Pinckard,CineScope Talent Group,597-788-2402,fpinckardt@example.com
232416051,Jerry Segge,EchoTalent Agency,311-912-2029,jseggeu@icq.com
344961690,Rose Hanhardt,DreamLine Talent,417-556-1316,rhanhardtv@flavors.me
351907382,Sydney Jeandet,TalentForge Group,334-422-1446,sjeandetw@moonfruit.com
333492257,Darlleen Caddy,Nova Artists,196-899-9685,dcaddyx@comcast.net
292297758,Sigfried Timmes,Nova Artists,736-123-2147,stimmesy@mozilla.com
382576832,Paquito Hentze,Apex Media Group,359-185-3293,phentzez@ehow.com
354358974,Lolita Starbucke,TalentForge Group,328-336-5095,lstarbucke10@java.com
250810955,Galven Seal,Visionary Creations,946-538-8421,gseal11@icio.us
224579614,Mable Hendrix,Spotlight Representatives,120-525-6936,mhendrix12@chicagotribune.com
241493133,Earl Bunting,SilverStage Management,179-268-7559,ebunting13@umich.edu
377494680,Othilie Lesly,Visionary Creations,290-807-5875,olesly14@thetimes.co.uk
224612127,Way Montgomery,FrameOne Agency,246-124-3761,wmontgomery15@canalblog.com
325537487,Carr Snoddy,Infinity Artists,533-353-2468,csnoddy16@guardian.co.uk
