CreatorID,Content_CreatorFullName,BirthDate,Country,IsActive,JoinDate,AgentID
239355065,Lorette Stedmond,10/4/2022,Greece,true,7/28/2015,285784093
206247076,Toddie Giblin,8/28/2014,China,true,10/3/2012,243714775
351377597,Dieter Stepto,4/11/2019,China,true,8/13/2023,382279744
243794872,Ladonna Lansley,1/21/2014,Argentina,true,11/15/2012,211435858
366300564,Feliza Pincott,12/25/2023,China,true,4/26/2023,264435721
260737024,Spense Jacobovitz,9/22/2023,China,true,11/5/2020,359764565
239550268,Rand Kidson,7/4/2012,Poland,true,3/16/2022,310134957
222602176,Roderic Betje,12/1/2020,Philippines,true,12/13/2014,351538983
318605006,Chantal Dewsbury,6/17/2021,Poland,false,9/6/2024,351309967
289309435,Devonna Derington,1/13/2024,France,false,3/21/2016,205038137
353620059,Perle Devon,11/24/2012,China,false,11/30/2018,389279553
205509918,Bartie Arrigucci,2/5/2014,China,true,3/23/2024,251034684
272793012,Adair Fibben,1/27/2021,China,true,4/26/2016,378255929
282306370,Pietro Wolfendale,2/20/2013,Italy,false,12/17/2019,230691780
350792778,Birgitta Prickett,1/23/2025,United States,true,4/11/2025,308014761
307986913,Wenona Anthill,7/29/2015,France,true,8/5/2021,296690620
372353849,Shanan Lishmund,1/10/2014,Germany,true,5/28/2012,229639204
288842760,Colly Marney,2/23/2013,China,false,4/8/2014,224759203
288549523,Querida Worton,4/1/2017,China,true,4/25/2022,325519443
299228277,Lemmie Sallarie,8/24/2013,Indonesia,false,2/26/2014,291482115
247055591,Lucian Goldson,12/21/2014,Mexico,true,6/9/2023,251034684
319859060,Gabe Epton,2/24/2015,Japan,true,6/4/2016,391122718
380956412,Dani Quesne,1/27/2018,Netherlands,false,3/18/2017,319979819
220053879,Alfi Renner,11/26/2013,China,true,5/6/2012,369747544
347481096,Olag Sievewright,2/24/2021,United States,false,10/31/2012,270145338
332309749,Urbain Bartoloma,3/7/2023,China,true,11/12/2014,338744847
273364028,Adelbert Sage,2/29/2020,Slovenia,true,10/15/2019,244824002
276606087,Arabele Kalkofen,10/16/2015,Indonesia,true,6/12/2022,252016530
205394944,Lilian Iorns,4/23/2016,Philippines,false,8/3/2021,308014761
376953743,Jillana Kinnie,5/15/2021,Philippines,true,8/8/2021,211913433
258119732,Nikolas Corneil,3/12/2018,China,true,1/4/2018,380500932
305647224,Tessa Anersen,12/26/2020,China,true,4/26/2023,296223227
233180967,Silvain Heads,2/21/2024,Russia,true,7/29/2016,388627400
241021800,Haily Thunder,4/9/2024,Indonesia,true,10/23/2013,223446204
204042582,Grayce Foran,1/31/2022,Chile,false,11/3/2013,311943414
229405969,Tremain Garmons,10/12/2016,Russia,false,4/5/2020,224319778
232739392,Stewart Tomicki,3/4/2020,China,false,5/30/2013,229166017
213145419,Gar D''Hooge,4/20/2014,China,true,4/24/2024,202334587
